PreferredonlyoneIP,Preferred Hostname,Preferred Mac
10.191.106.130,UW328V2,7E:1D:3F:D7:0C:02
10.191.104.250,SFV3ODPP03,C2:73:19:01:A3:5C
10.119.219.216,UW335V1,BE:B8:87:16:20:04
10.119.219.196,UW334V1,4A:43:56:F9:63:04
10.152.27.181,ITHFZTTANGRTPTB1C,BC:16:95:14:89:A7
10.152.27.135,ITHFZTTANGRUSSD0D,BC:16:95:14:95:27
10.152.27.133,ITHFZTTANGRUSSD0B,BC:16:95:14:89:6F
10.152.27.162,ITHFZTTANGRSMPE0D,BC:16:95:14:8B:AF
10.152.27.179,ITHFZTTANGRUSTB1A,BC:16:95:14:89:97
10.152.27.183,ITHFZTTANGRPOTB1E,BC:16:95:14:88:0F
10.152.27.170,ITHFZTTANGRCRS0C,BC:16:95:14:8F:07
10.152.3.100,,AC:DC:CA:E3:48:24
10.152.16.204,,CC:B1:82:2A:20:0B
10.59.25.132,ITHFHWADVPLCN188,FA:16:3E:29:FC:02
10.59.32.233,,80:69:33:FE:16:49
10.152.0.204,,44:22:7C:8B:F6:E7
10.152.0.211,,44:22:7C:8B:F6:E0
10.152.3.234,,3C:A3:7E:B7:2A:B9
10.119.162.134,VIOS2INT1,F2:F3:65:B5:E3:03
10.119.162.166,VIOS2INT2,D6:51:86:BC:F8:03
10.119.162.165,VIOS1INT2,D6:51:8E:A2:6C:03
10.119.162.133,VIOS1INT1,F2:F3:6E:72:5A:03
10.152.27.204,9LF_TNG_ZTE_IXT3_7,FC:44:9F:60:C0:98
10.59.32.228,,20:28:3E:74:70:7A
10.152.0.194,,44:22:7C:8B:F6:69
10.152.27.142,ITHFZTTANGRNH0B,BC:16:95:14:8E:FF
10.119.215.5,ITHHWTRSOSMU1-VOSMU-0,FA:18:5E:37:2E:38
10.119.251.183,ITHBIVRM02,FA:16:3E:99:86:72
10.119.215.26,ITHHWTRS1TS-M20,FA:18:5E:46:6E:3F
10.119.215.143,ITHHWTRS3TS-M9,FA:18:5E:95:5A:AE
10.119.215.23,ITHHWTRS1TS-M17,FA:18:5E:F5:8A:D7
10.119.215.82,ITHHWTRS2TS-M12,FA:18:5E:8B:AB:EE
10.59.190.100,,1C:AE:CB:89:50:4D
10.59.190.101,,34:0A:98:D7:C5:62
10.59.191.24,,9C:52:F8:60:B6:6C
10.152.0.240,,6C:44:2A:9C:A7:A6
10.119.215.78,ITHHWTRS2TS-M8,FA:18:5E:56:A1:F1
10.119.215.139,ITHHWTRS3TS-M5,FA:18:5E:48:CE:6B
10.152.27.174,ITHZTETANGLB05,00:94:A1:D6:5C:02
10.152.27.175,ITHZTETANGLB06,00:94:A1:D6:53:82
10.152.27.176,ITHFZTTANGRTPG0A,BC:16:95:14:96:17
10.152.27.143,ITHFZTTANGRNH0C,BC:16:95:14:95:E7
10.152.27.148,ITHFZTTANGRNH0H,BC:16:95:14:95:BF
10.152.27.159,ITHFZTTANGRSMPE0A,BC:16:95:14:94:EF
10.152.27.177,ITHFZTTANGRTPG0B,BC:16:95:14:90:8F
10.152.27.140,ITHFZTTANGRUSSD0I,BC:16:95:14:96:4F
10.152.27.158,ITHFZTTANGRMVNE0B,BC:16:95:14:88:C7
10.152.27.145,ITHFZTTANGRNH0E,BC:16:95:14:89:FF
192.168.16.59,ENTSECMGR,"00:50:56:86:51:24
00:50:56:95:50:B7
00:50:56:95:E5:4B"
10.152.16.207,,44:22:7C:29:E1:6E
10.59.191.8,,80:69:33:8B:81:68
10.152.0.193,,44:22:7C:29:E2:6A
10.152.0.219,,44:22:7C:8B:F7:B0
10.119.251.167,ITHHWC1C111,FA:16:3E:44:EC:3C
10.152.27.185,ITHFZTTANGRCRTB1G,BC:16:95:14:87:FF
10.152.27.178,ITHFZTTANGRTPG0C,BC:16:95:14:96:27
10.152.27.173,ITHFZTTANGRCRS0F,BC:16:95:14:87:DF
10.152.27.161,ITHFZTTANGRSMPE0C,BC:16:95:14:94:87
10.152.0.198,,44:22:7C:8B:F6:BD
10.152.0.247,,04:E7:95:6C:32:B7
10.152.27.141,ITHFZTTANGRNH0A,BC:16:95:14:11:B9
10.152.27.144,ITHFZTTANGRNH0D,BC:16:95:14:8F:0F
10.152.27.149,ITHFZTTANGRNH0I,BC:16:95:14:8A:6F
10.152.27.172,ITHFZTTANGRCRS0E,BC:16:95:14:8D:5F
10.152.27.180,ITHFZTTANGRNHTB1B,BC:16:95:14:89:8F
10.152.27.137,ITHFZTTANGRUSSD0F,BC:16:95:14:94:AF
10.119.249.38,ITHHWPPL1QA19,FA:16:3E:41:EC:4F
10.119.249.164,ITHHWMED1DE1,FA:16:3E:06:16:6D
10.119.215.85,ITHHWTRS2TS-M15,FA:18:5E:40:32:D9
10.119.249.172,ITHHWHPQ1BD01,FA:16:3E:06:EC:47
10.59.165.142,ITHFZTTANGRPETB1D,B4:96:91:AA:30:E7
10.152.0.215,,44:22:7C:8B:FE:EF
10.152.0.190,,44:22:7C:29:E3:DD
10.191.48.123,ITHHPMESASAP002,00:50:56:86:A5:1C
10.119.107.6,ITHHWARI1VCL44,FA:16:3E:3A:72:3A
10.119.252.18,OCHOST2,FA:16:3E:59:36:0C
10.152.85.234,,44:E9:68:FF:B6:B8
10.119.137.199,D2VIOS1,4A:46:07:DE:3D:03
10.152.0.196,,44:22:7C:8B:F6:A8
